[2026-04-17 08:43:02] Unknown
[2026-04-17 08:48:38] Unknown (Title: 
	Kapadokya SHM
)
[2026-04-17 08:56:20] FLY (Green)
[2026-04-17 10:28:06] CANCEL (Red)
[2026-04-21 05:52:40] FLY (Green)
[2026-04-21 12:04:13] CANCEL (Red)
[2026-04-25 05:44:14] FLY (Green)
[2026-04-25 10:55:53] CANCEL (Red)
[2026-04-26 06:21:31] FLY (Green)
[2026-04-26 10:44:47] CANCEL (Red)
[2026-04-27 06:26:27] FLY (Green)
[2026-04-27 11:42:52] CANCEL (Red)
[2026-04-28 06:32:03] FLY (Green)
[2026-04-28 11:41:32] CANCEL (Red)
[2026-04-29 06:30:41] FLY (Green)
[2026-04-29 11:35:12] CANCEL (Red)
[2026-04-30 06:31:54] FLY (Green)
[2026-04-30 11:37:07] CANCEL (Red)
[2026-05-07 06:29:52] FLY (Green)
[2026-05-07 12:10:50] CANCEL (Red)
[2026-05-08 06:26:24] FLY (Green)
[2026-05-08 10:08:46] CANCEL (Red)
[2026-05-09 06:24:47] FLY (Green)
[2026-05-09 11:08:15] CANCEL (Red)
[2026-05-10 06:36:52] FLY (Green)
[2026-05-10 09:25:12] CANCEL (Red)
[2026-05-11 06:51:06] FLY (Green)
[2026-05-11 09:59:07] CANCEL (Red)
[2026-05-12 06:34:23] FLY (Green)
[2026-05-12 09:28:46] CANCEL (Red)
[2026-05-13 06:42:00] FLY (Green)
[2026-05-13 09:39:43] CANCEL (Red)
[2026-05-16 06:29:19] FLY (Green)
[2026-05-16 11:20:23] CANCEL (Red)
[2026-05-20 06:53:10] FLY (Green)
[2026-05-20 10:41:12] CANCEL (Red)
[2026-05-22 06:57:18] Exception_HTTPSConnectionPool(host='shmkapadokya.kapadokya.e
[2026-05-22 10:51:09] CANCEL (Red)
[2026-05-23 06:34:04] FLY (Green)
[2026-05-23 09:23:27] CANCEL (Red)
[2026-05-24 06:55:43] FLY (Green)
[2026-05-24 10:24:42] CANCEL (Red)
[2026-05-25 07:07:24] FLY (Green)
[2026-05-25 11:39:30] CANCEL (Red)
[2026-05-26 06:53:01] FLY (Green)
[2026-05-26 10:42:24] CANCEL (Red)
[2026-05-27 07:06:39] FLY (Green)
[2026-05-27 11:11:45] CANCEL (Red)
[2026-05-30 06:41:43] FLY (Green)
[2026-05-30 09:37:36] CANCEL (Red)
[2026-05-31 07:08:06] FLY (Green)
[2026-05-31 10:52:06] CANCEL (Red)
